query,rank,chunk_id,source,score,preview
How should a RAG system decide whether to answer or refuse?,1,rag_reliability-01,rag_reliability.md,0.416,# RAG Reliability A retrieval-augmented generation system should answer only when the retrieved evidence is strong enough. The assistant should inspect the top 
How should a RAG system decide whether to answer or refuse?,2,agent_observability-01,agent_observability.md,0.111,"# Agent Observability Agentic systems should expose important intermediate steps. A useful trace records the user request, selected tools, retrieved documents, "
How should a RAG system decide whether to answer or refuse?,3,edge_ai_notes-01,edge_ai_notes.md,0.080,"# Edge AI Notes Deploying neural networks to constrained edge hardware requires measuring accuracy, latency, memory usage, model size, and energy consumption. O"
How should a RAG system decide whether to answer or refuse?,4,evaluation_metrics-01,evaluation_metrics.md,0.080,"# Evaluation Metrics Useful retrieval metrics include recall at k, source hit rate, rank of the expected source, and trace inspection. For answer quality, usefu"
What metrics are useful for evaluating retrieval quality?,1,evaluation_metrics-01,evaluation_metrics.md,0.355,"# Evaluation Metrics Useful retrieval metrics include recall at k, source hit rate, rank of the expected source, and trace inspection. For answer quality, usefu"
What metrics are useful for evaluating retrieval quality?,2,rag_reliability-01,rag_reliability.md,0.167,# RAG Reliability A retrieval-augmented generation system should answer only when the retrieved evidence is strong enough. The assistant should inspect the top 
What metrics are useful for evaluating retrieval quality?,3,agent_observability-01,agent_observability.md,0.048,"# Agent Observability Agentic systems should expose important intermediate steps. A useful trace records the user request, selected tools, retrieved documents, "
What metrics are useful for evaluating retrieval quality?,4,edge_ai_notes-01,edge_ai_notes.md,0.000,"# Edge AI Notes Deploying neural networks to constrained edge hardware requires measuring accuracy, latency, memory usage, model size, and energy consumption. O"
How can an agent expose tool calls without hiding important decisions?,1,agent_observability-01,agent_observability.md,0.302,"# Agent Observability Agentic systems should expose important intermediate steps. A useful trace records the user request, selected tools, retrieved documents, "
How can an agent expose tool calls without hiding important decisions?,2,evaluation_metrics-01,evaluation_metrics.md,0.036,"# Evaluation Metrics Useful retrieval metrics include recall at k, source hit rate, rank of the expected source, and trace inspection. For answer quality, usefu"
How can an agent expose tool calls without hiding important decisions?,3,edge_ai_notes-01,edge_ai_notes.md,0.032,"# Edge AI Notes Deploying neural networks to constrained edge hardware requires measuring accuracy, latency, memory usage, model size, and energy consumption. O"
How can an agent expose tool calls without hiding important decisions?,4,rag_reliability-01,rag_reliability.md,0.000,# RAG Reliability A retrieval-augmented generation system should answer only when the retrieved evidence is strong enough. The assistant should inspect the top 
What matters when deploying neural networks to constrained edge hardware?,1,edge_ai_notes-01,edge_ai_notes.md,0.423,"# Edge AI Notes Deploying neural networks to constrained edge hardware requires measuring accuracy, latency, memory usage, model size, and energy consumption. O"
What matters when deploying neural networks to constrained edge hardware?,2,evaluation_metrics-01,evaluation_metrics.md,0.032,"# Evaluation Metrics Useful retrieval metrics include recall at k, source hit rate, rank of the expected source, and trace inspection. For answer quality, usefu"
What matters when deploying neural networks to constrained edge hardware?,3,agent_observability-01,agent_observability.md,0.000,"# Agent Observability Agentic systems should expose important intermediate steps. A useful trace records the user request, selected tools, retrieved documents, "
What matters when deploying neural networks to constrained edge hardware?,4,rag_reliability-01,rag_reliability.md,0.000,# RAG Reliability A retrieval-augmented generation system should answer only when the retrieved evidence is strong enough. The assistant should inspect the top 
Which customer should receive a loan approval today?,1,agent_observability-01,agent_observability.md,0.264,"# Agent Observability Agentic systems should expose important intermediate steps. A useful trace records the user request, selected tools, retrieved documents, "
Which customer should receive a loan approval today?,2,edge_ai_notes-01,edge_ai_notes.md,0.000,"# Edge AI Notes Deploying neural networks to constrained edge hardware requires measuring accuracy, latency, memory usage, model size, and energy consumption. O"
Which customer should receive a loan approval today?,3,evaluation_metrics-01,evaluation_metrics.md,0.000,"# Evaluation Metrics Useful retrieval metrics include recall at k, source hit rate, rank of the expected source, and trace inspection. For answer quality, usefu"
Which customer should receive a loan approval today?,4,rag_reliability-01,rag_reliability.md,0.000,# RAG Reliability A retrieval-augmented generation system should answer only when the retrieved evidence is strong enough. The assistant should inspect the top 
